track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""rank_edge_punt_return_average"", "">="", 10.0]]",115,63,0.5478260869565217,0.31313043478260866,52,0.42192307692307696,28,0.0782142857142857,35,0.33942857142857147,0.7,0.08935989010989015,True,0.3932991459627329
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785], [""rank_edge_points_against"", "">="", -5.0]]",175,64,0.3657142857142857,0.30274285714285715,93,0.2276344086021505,43,0.36465116279069765,39,0.41358974358974354,0.65,0.11744695789331949,True,0.38987396533199237
LONG,DOG35_44,AWAY,ROAD3,"[[""road_prev5_ge3"", "">="", 1.0], [""rank_edge_punt_return_average"", "">="", 0.0]]",108,57,0.5277777777777778,0.3298148148148148,43,0.5362790697674419,28,0.0692857142857143,37,0.28702702702702704,0.8,-0.015755364999551047,True,0.38503193268018854
LONG,DOG35_44,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.42752740560292324], [""recent_edge_punt_net_average"", "">="", 3.636002886002888]]",143,76,0.5314685314685315,0.35307692307692307,72,0.4588888888888889,28,0.16749999999999998,43,0.29674418604651165,0.7,-0.016450258397932793,True,0.3742356898592364
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""rank_edge_def_allowed_giveaway_rate"", ""<="", -10.0]]",85,46,0.5411764705882353,0.3032941176470588,37,0.29243243243243244,23,0.29913043478260865,25,0.32319999999999993,0.65,0.027418566392479415,True,0.3669295901016106
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4667437246300308], [""rank_edge_punt_return_average"", "">="", 1.0]]",122,66,0.5409836065573771,0.2618032786885246,54,0.3098148148148148,28,0.1275,40,0.29100000000000004,0.7,0.07234259259259262,True,0.3620737173649059
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""rank_edge_punt_return_average"", "">="", -9.0]]",311,161,0.5176848874598071,0.23324758842443727,140,0.2502142857142857,73,0.13506849315068492,98,0.2821428571428571,0.75,0.08950146771037176,True,0.36200129094015265
LONG,DOG20_34,ANY,RUN,"[[""recent3_run_rate2"", "">="", 0.45263157894736844], [""rank_edge_pass_epa_per_dropback"", "">="", -2.0]]",120,47,0.39166666666666666,0.29374999999999996,63,0.32666666666666666,30,0.20566666666666672,27,0.3148148148148148,0.6842105263157895,0.04864814814814816,True,0.35651127192982457
LONG,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.4127370564281559], [""rank_edge_fg_accuracy"", ""<="", 10.125]]",131,104,0.7938931297709924,0.14518457239604146,45,0.0587207546936816,37,0.17819783207281384,49,0.19966173950962546,0.8,0.08120244612637774,True,0.35013353071561887
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""rank_edge_punt_return_average"", "">="", 1.0]]",209,110,0.5263157894736842,0.24698564593301434,94,0.32457446808510637,50,0.09820000000000004,65,0.24923076923076923,0.75,0.03784353518821601,True,0.34905149615893627
MODERN,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.41124999999999995], [""rank_edge_fg_accuracy"", ""<="", 10.5]]",131,104,0.7938931297709924,0.14488994269201036,37,0.13950979292942128,23,0.17416268376397512,37,0.20828630752140956,0.8,0.05145006917471137,True,0.3489519260496654
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4476493111406392], [""recent_edge_sack_or_hit_rate"", "">="", 0.0058520223737614]]",150,81,0.54,0.28340000000000004,66,0.403939393939394,33,0.06181818181818182,51,0.2707843137254902,0.65,0.037905525846702315,True,0.34642869875222815
LONG,DOG35_44,ANY,ROAD3,"[[""road_prev5_ge3"", "">="", 1.0], [""rank_edge_def_allowed_explosive_rate"", "">="", 7.0]]",133,65,0.48872180451127817,0.22962406015037595,44,0.08681818181818182,39,0.3533333333333334,50,0.2588,0.75,0.03872424242424238,True,0.3441283470038733
LONG,DOG20_34,ANY,RUN,"[[""recent3_run_rate2"", "">="", 0.45263157894736844], [""rank_edge_point_margin"", "">="", -4.375]]",118,44,0.3728813559322034,0.2783898305084746,57,0.2636842105263158,33,0.283030303030303,28,0.3028571428571428,0.65,0.029499886078833415,True,0.33763486412487304
LONG,FAV55_65,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.410336189848385], [""recent_edge_redzone_epa"", ""<="", -0.23317807812707309]]",74,52,0.7027027027027027,0.19246705862394925,24,0.12307370648293407,28,0.22602397309628738,22,0.22546009708571715,0.7,0.05091125729610643,True,0.3371527294421809
MODERN,FAV55_65,HOME,RUN,"[[""recent3_run_rate2"", "">="", 0.4637577661929586], [""rank_edge_success_rate"", "">="", 1.0]]",114,79,0.6929824561403509,0.14426387251335349,26,0.2686716193869646,15,0.1074851508810515,44,0.27275792807444815,0.65,0.08467954294044011,True,0.33365509130845405
LONG,DOG35_44,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.4767659756155415], [""recent_edge_sack_or_hit_rate"", "">="", 0.00288736374754465]]",94,48,0.5106382978723404,0.2868085106382979,41,0.4180487804878049,23,0.09652173913043477,30,0.25333333333333335,0.65,-0.003951926475786516,True,0.33331887367162294
LONG,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.39317810457516345], [""rank_edge_early_down_epa"", ""<="", 16.25]]",84,68,0.8095238095238095,0.16738679803573103,26,0.22681177908050232,24,0.09219874331285323,34,0.17501808645293737,0.75,0.015512825256259605,True,0.33082153540956744
MODERN,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.41124999999999995], [""rank_edge_def_allowed_explosive_rate"", "">="", 5.0]]",83,64,0.7710843373493976,0.1107175381122935,22,0.054849416970608564,18,0.10748667206645551,21,0.23460026589480584,0.65,0.1534322213762738,True,0.3298060921282666
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785], [""rank_edge_giveaway_rate"", "">="", -4.0]]",158,56,0.35443037974683544,0.24607594936708857,85,0.2683529411764706,39,0.19641025641025642,34,0.24735294117647058,0.75,0.014971342383107072,True,0.32806124100273026
MODERN,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.42857142857142855], [""recent_edge_def_allowed_explosive_rate"", "">="", -0.008301201584996351]]",257,91,0.3540856031128405,0.2617120622568093,72,0.23097222222222225,38,0.14,63,0.24730158730158727,0.7,0.06181547619047614,True,0.3280090957167562
MODERN,DOG35_44,HOME,RUN,"[[""pre_run_rate2"", "">="", 0.4236862989626438], [""rank_edge_sack_rate_allowed"", ""<="", -12.0]]",77,35,0.45454545454545453,0.13688311688311688,19,0.27842105263157896,11,0.17727272727272728,27,0.31370370370370365,0.65,0.08585681375155052,True,0.32122189564821146
MODERN,DOG35_44,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.44321699971854767], [""rank_edge_redzone_epa"", "">="", 9.0]]",81,41,0.5061728395061729,0.2565432098765432,21,0.27476190476190476,7,0.05142857142857144,32,0.1684375,0.75,0.005342261904761891,True,0.3193475804673722
MODERN,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.4], [""rank_edge_def_allowed_explosive_rate"", "">="", -4.0]]",101,78,0.7722772277227723,0.1132901983685116,24,0.09553959093337028,24,0.11735550547456695,25,0.2120184474590954,0.65,0.10557089925512678,True,0.31712039245448215
MODERN,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4288045288045288], [""rank_edge_def_allowed_success_rate"", ""<="", -8.0]]",117,62,0.5299145299145299,0.2677777777777777,26,0.17884615384615382,11,0.07090909090909094,44,0.16295454545454544,0.7,0.038076923076923064,True,0.317031351981352
LONG,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.39317810457516345], [""recent_edge_def_allowed_giveaway_rate"", ""<="", 0.018582289681641627]]",108,84,0.7777777777777778,0.12146410005658588,33,0.06149704703562832,32,0.08608479466234173,43,0.19381411220326986,0.65,0.12002319135428482,True,0.31576733357302766
MODERN,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4288045288045288], [""rank_edge_pass_epa_per_dropback"", "">="", 7.0]]",105,56,0.5333333333333333,0.2733333333333334,27,0.21296296296296297,10,0.12400000000000003,29,0.19034482758620688,0.65,0.021863346104725373,True,0.3154192464878672
LONG,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.4127370564281559], [""rank_edge_fg_accuracy"", ""<="", 1.0]]",92,72,0.782608695652174,0.13705672903006189,31,0.07768575164968226,27,0.1867559027412236,34,0.15172209987095603,0.7,0.019501272675503084,True,0.3036112892292542
LONG,FAV55_65,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.410336189848385], [""rank_edge_points_for"", ""<="", 1.0]]",71,50,0.704225352112676,0.17545191624597592,21,0.18939973030199117,19,0.16072342843193735,31,0.175030534739215,0.65,-3.104462774924932e-05,True,0.300291249587703
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785]]",304,99,0.3256578947368421,0.14335526315789474,155,0.10541935483870965,72,0.16694444444444448,77,0.19766233766233765,0.7,0.061480438020760586,True,0.2796490102578048
